clues,institucion,entidad,en_operacion,nombre_unidad
ASCIJ000012,CIJ,01,true,"CENTROS DE INTEGRACIÓN JUVENIL, A.C. UNIDAD OPERATIVA AGUASCALIENTES"
ASCRO000012,CRO,01,false,CONSULTORIO MEDICO AGUASCALIENTES BASE NORTE
ASDIF000011,DIF,01,true,DIF AGUASCALIENTES
ASDIF000023,DIF,01,true,DIF COSÍO
ASDIF000035,DIF,01,true,DIF RINCÓN DE ROMOS
ASDIF000040,DIF,01,true,DIF TEPEZALÁ
ASDIF000052,DIF,01,true,DIF CALVILLO
ASDIF000064,DIF,01,true,CENTRO GERONTOLÓGICO
ASDIF000076,DIF,01,true,DIF SAN FRACISCO DE LOS ROMO
ASHUN000012,HUN,01,true,UNIDAD DE ODONTOLOGÍA DE LA UNIVERSIDAD CUAUHTÉMOC
ASIMS000016,IMS,01,true,HGZ 2 AGUASCALIENTES
ASIMS000021,IMS,01,true,HGZ 1 AGUASCALIENTES
ASIMS000033,IMS,01,true,UMF 1 AGUASCALIENTES
ASIMS000045,IMS,01,true,UMF 10 AGUASCALIENTES
ASIMS000050,IMS,01,true,UMF 7 SAN MARCOS
ASIMS000062,IMS,01,true,UMF 8 AGUASCALIENTES
ASIMS000074,IMS,01,true,UMF 9 AGUASCALIENTES
ASIMS000086,IMS,01,true,UMF 5 ASIENTOS
ASIMS000091,IMS,01,true,UMF 4 CALVILLO
ASIMS000103,IMS,01,true,UMF 6 JESÚS MARÍA
ASIMS000115,IMS,01,true,UMF 3 PABELLÓN ARTEAGA
ASIMS000120,IMS,01,true,UMF 2 RINCÓN DE ROMOS
ASIMS000132,IMS,01,true,CSS AGUASCALIENTES
ASIMS000144,IMS,01,true,UMF 11 AGUASCALIENTES
ASIMS000154,IMS,01,true,UMAA 1 AGUASCALIENTES (AUT)
ASIMS000161,IMS,01,true,HGZ 3 JESÚS MARÍA
ASIMS000173,IMS,01,true,UMF 12 AGUASCALIENTES
ASIMS000185,IMS,01,true,ALMACÉN DELEGACIONAL EN AGUASCALIENTES
ASIMS000190,IMS,01,true,DELEGACION REGIONAL DE AGUASCALIENTES
ASIST000016,IST,01,true,HG AGUASCALIENTES
ASIST000021,IST,01,true,CMF AGUASCALIENTES
ASIST000033,IST,01,true,UMF PABELLÓN DE ARTEAGA
ASIST000045,IST,01,true,UMF RINCÓN DE ROMOS
ASIST000050,IST,01,true,UMF CALVILLO
ASIST000062,IST,01,true,CMF OJOCALIENTE
ASIST000074,IST,01,true,UMF VILLA JUÁREZ
ASIST000086,IST,01,false,UNIDAD DE MEDICINA FAMILIAR OJO DE AGUA
ASIST000091,IST,01,false,UNIDAD DE MEDICINA FAMILIAR LAZARO CARDENAS
ASIST000103,IST,01,true,CAF SAN JOSÉ DE GRACIA
ASIST000115,IST,01,true,CAF COSIO
ASIST000120,IST,01,true,CAF PALO ALTO
ASIST000131,IST,01,true,CAF SAN FRANCISCO DE LOS ROMO
ASIST000144,IST,01,true,REPRESENTACIÓN ESTATAL DEL ISSSTE EN AGUASCALIENTES
ASSCT000014,SCT,01,true,UNIDAD DE PROTECCIÓN Y MEDICINA PREVENTIVA EN EL TRANSPORTE AGUASCALIENTES
ASSDN000010,SDN,01,false,P.S.1
ASSDN000022,SDN,01,false,P.S.2
ASSDN000034,SDN,01,false,CONS.MED.
ASSDN000046,SDN,01,false,4/O. REGIMIENTO MECANIZADO
ASSMP000016,SMP,01,true,TORRE MEDICA SANTA MARÍA
ASSMP000021,SMP,01,true,CENTRO HOSPITALARIO AGUASCALIENTES
ASSMP000033,SMP,01,true,"CENTRO HOSPITALARIO MAC, S. A. DE C. V."
ASSMP000045,SMP,01,true,PRESTADORA DE SERVICIOS QUIRÚRGICOS DE AGUASCALIENTES S. DE R.L. DE C.V.
ASSMP000050,SMP,01,true,CLÍNICA Y MATERNIDAD SANTA FE DE AGUASCALIENTES
ASSMP000062,SMP,01,false,CENTRO MÉDICO LA MORA S.A DE C.V.
ASSMP000074,SMP,01,true,CLÍNICA Y MATERNIDAD CASA BLANCA
ASSMP000086,SMP,01,true,MÉDICA SAN JUAN HOSPITAL DE ESPECIALIDADES
ASSMP000091,SMP,01,true,"PROMOTORA MÉDICA AGUASCALIENTES, S.A. DE C.V."
ASSMP000103,SMP,01,true,"GRUPO MÉDICO LA SALUD, S. DE R. L. DE C. V."
ASSMP000115,SMP,01,true,"BIOMATERNA CLÍNICA GINECOOBSTETRA, S.C."
ASSMP000120,SMP,01,true,STAR MÉDICA
ASSMP000132,SMP,01,true,UDIMEPES S.A. DE C.V.
ASSMP000144,SMP,01,true,CENTRO DE CIRUGÍA AMBULATORIA MEDISUR
ASSMP000156,SMP,01,true,CLÍNICA Y HOSPITAL VIRGEN DEL CARMEN S.A. DE C.V.
ASSMP000161,SMP,01,true,"SERVICIOS MÉDICOS INTEGRADOS, S. A. DE C. V."
ASSMP000173,SMP,01,true,CLÍNICA SANTA ELENA DEL VALLE DE HUEJUCAR
ASSMP000185,SMP,01,true,INOVA VISIÓN QUIRÚRGICA S.C
ASSMP000190,SMP,01,false,CONSULTORIO DE MEDICINA FAMILIAR: DRA. MA. DEL ROSARIO HERMOSILLO ROMO
ASSMP000202,SMP,01,true,"PATRONATO BANCO DE OJOS Y TEJIDOS DE AGUASCALIENTES, A.C."
ASSMP000214,SMP,01,false,SERVICIOS INTEGRALES DEL DIAGNÓSTICO S.A. DE C.V.
ASSMP000226,SMP,01,true,CLÍNICA RANDOLPH S.C.
